Subject Name,Git hash,Test #,Assertion #,Methods #,Methods # cov,Methods # pseudo,Methods % covered,Methods % pseudo,Statements #,Statements # cov,Statements # pseudo,Statements # PTSIRM,Statements % covered,Statements % pseudo,PIT Mutants #,PIT Mutants # Killed,PIT Mutants % Killed,JaCoCo Instruction Cov
lib-logger,6babd40,3,0,36,5,3,13.89,8.33,95,18,17,4,18.95,17.89,43,3,6.98,25
commons-codec,d2563ce1,923,2536,625,555,32,88.8,5.12,3933,3548,263,125,90.21,6.69,4060,3353,82.59,97
f3270,fbf5adc,7,6,204,2,1,0.98,0.49,1299,10,9,0,0.77,0.69,864,0,0.0,4
chardet4j,6b435a2,13,13,80,58,28,72.5,35.0,682,426,0,0,62.46,0.0,732,198,27.05,91
marine,a48ae77,2,2,14,2,2,14.29,14.29,45,2,2,0,4.44,4.44,31,0,0.0,6
authlete-jose,dcc8528,15,15,60,40,9,66.67,15.0,570,297,0,0,52.11,0.0,324,147,45.37,49
smartbill-java-client,3620c28,11,9,16,2,0,12.5,0.0,200,45,13,12,22.5,6.5,58,4,6.9,19
kafka-common-lib,7e3c734,6,10,27,8,2,29.63,7.41,117,49,3,2,41.88,2.56,73,19,26.03,29
coodoo-listing,e24d948,64,84,81,9,0,11.11,0.0,739,99,2,2,13.4,0.27,477,80,16.77,13
jena.serializer,fdaa8f8,5,7,2,2,0,100.0,0.0,32,28,0,0,87.5,0.0,17,13,76.47,88
jargser,9aa3282,1,6,10,8,3,80.0,30.0,96,83,0,0,86.46,0.0,86,41,47.67,88
beanunit,d4da6f0,44,56,44,41,15,93.18,34.09,275,188,50,31,68.36,18.18,183,75,40.98,0
commons-csv,75592a6a,468,1445,145,145,1,100.0,0.69,960,948,4,2,98.75,0.42,718,673,93.73,98
solr-cmd-utils,4f24485,179,449,807,238,36,29.49,4.46,7280,1644,29,24,22.58,0.4,3204,628,19.6,24
SequencePattern,4b70e1c,16,16,114,34,5,29.82,4.39,493,200,0,0,40.57,0.0,397,125,31.49,41
commons-math-3.6.1,f3cac06a6,6136,12402,6467,5633,390,87.1,6.03,46206,40365,260,119,87.36,0.56,45646,34864,76.38,92
asw4j,5328179,42,215,170,83,24,48.82,14.12,816,402,17,12,49.26,2.08,504,203,40.28,48
java-json-canonicalization,535ab00,5,1,65,43,11,66.15,16.92,1102,367,0,0,33.3,0.0,993,238,23.97,49
Xml-Region-Analyzer,f68eb2d,9,273,10,10,1,100.0,10.0,222,216,0,0,97.3,0.0,196,153,78.06,96
pm-persistence-utils,c698c4c,19,24,27,17,0,62.96,0.0,228,156,2,2,68.42,0.88,106,63,59.43,66
commons-cli,1b77851,448,688,140,136,4,97.14,2.86,745,725,20,5,97.32,2.68,753,675,89.64,96
wildfly-swarm-spi,9026dec,12,156,64,24,2,37.5,3.12,268,107,1,0,39.93,0.37,180,57,31.67,47
chronometrophobia,a1b2615,3,5,65,24,0,36.92,0.0,85,44,0,0,51.76,0.0,238,79,33.19,41
ext4logback,e74ad6b,4,16,7,3,0,42.86,0.0,45,20,0,0,44.44,0.0,26,13,50.0,51
data-conjuror,2f1c934,2,3,12,6,5,50.0,41.67,29,17,3,0,58.62,10.34,26,4,15.38,54
payload-offloading-java-common-lib-for-aws,d9c73b6,40,92,37,28,4,75.68,10.81,188,128,27,10,68.09,14.36,100,69,69.0,71
wcomponents-sass-compiler,91d9394,1,2,7,7,0,100.0,0.0,62,46,0,0,74.19,0.0,28,12,42.86,70
